Customer ID,Type,Offer,IMSI,SIM,MSISDN,BILL CYCLE,Used,User_ID
510245888,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478654,23,,
510245889,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478655,34,,
510245890,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478656,45,,
510245891,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478657,23,,
510245892,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478658,34,,
510245893,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478659,45,,
510245894,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478660,23,,
510245895,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478661,34,,
510245896,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478662,45,,
510245897,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478663,23,,
510245898,B2C,Red5_1,204041006379764,8931066892814831789,31625478664,34,,
510245899,B2C,Red5_1,204041006379764,8931066892814831789,31625478665,45,,
510245900,B2C,Red5_1,204041006379764,8931066892814831789,31625478666,23,,
510245901,B2C,Red5_1,204041006379764,8931066892814831789,31625478667,34,,
510245902,B2C,Red5_1,204041006379764,8931066892814831789,31625478668,45,,
510245903,B2C,Red_togethere,204041006379764,8931066892814831789,31625478669,23,,
510245904,B2C,Red_togethere,204041006379764,8931066892814831789,31625478670,34,,
510245905,B2C,Red_togethere,204041006379764,8931066892814831789,31625478671,45,,
510245906,B2C,Red_togethere,204041006379764,8931066892814831789,31625478672,23,,
510245907,B2C,Red_togethere,204041006379764,8931066892814831789,31625478673,34,,
510245908,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478674,45,,
510245909,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478675,23,,
510245910,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478676,34,,
510245911,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478677,45,,
510245912,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478678,23,,
510245913,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478679,34,,
510245914,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478680,45,,
510245915,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478681,23,,
510245916,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478682,34,,
510245917,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478683,45,,
510245918,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478684,23,,
510245919,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478685,34,,
